"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "JavaScript", "XML", "CSS", "JSON", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\user\my-project\to-do\src\components\tasklist.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 1, 7, 47
"c:\Users\user\my-project\to-do\src\layout\auth.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 6, 50
"c:\Users\user\my-project\to-do\src\layout\header.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\user\my-project\to-do\src\layout\index.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 1, 17
"c:\Users\user\my-project\to-do\src\lib\axios\api.tsx", "TypeScript JSX", 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 43, 23, 205
"c:\Users\user\my-project\to-do\src\lib\axios\axios.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 9, 46
"c:\Users\user\my-project\to-do\src\lib\axios\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 20, 124
"c:\Users\user\my-project\to-do\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 3, 31
"c:\Users\user\my-project\to-do\src\pages\_document.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\user\my-project\to-do\src\pages\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\user\my-project\to-do\src\pages\timer.tsx", "TypeScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\user\my-project\to-do\src\pages\todayTask.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\user\my-project\to-do\src\pages\upcoming.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 4, 16
"c:\Users\user\my-project\to-do\src\react-beautiful-dnd.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\my-project\to-do\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\user\my-project\to-do\src\types\types.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 27
"c:\Users\user\my-project\to-do\tailwind.config.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\user\my-project\to-do\tsconfig.json", "JSON with Comments", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"Total", "-", 21, 42, 69, 1305, 75, 3, 51, 26877, 1, 20, 230, 316, 29010
